,Unnamed: 0,_id,Function,Time,Error,time_stamp
3639025,3639025,62c1da58d5d23981d4b9d5e1,get_newest_articles_api.py db_check_not_empty,0.003478765,FALSE,2022-07-03 18:05:12:189750
3639026,3639026,62c1da58d5d23981d4b9d5e2,get_newest_articles_api.py db_get_newest_entry,0.003736496,FALSE,2022-07-03 18:05:12:196563
3639027,3639027,62c1da58d5d23981d4b9d5e3,get_newest_articles_api.py get,0.020435333,FALSE,2022-07-03 18:05:12:221451
3639028,3639028,62c1da58d5d23981d4b9d5e4,get_newest_articles_api.py main,4.509901524,FALSE,2022-07-03 18:05:12:298956
3639153,3639153,62c1db83798ea28bee37119e,get_newest_articles_api.py get_keywords,4.025054693,FALSE,2022-07-03 18:10:11:879888
3639154,3639154,62c1db84798ea28bee37248f,get_newest_articles_api.py save_to_db,0.178105831,FALSE,2022-07-03 18:10:12:078206
3639155,3639155,62c1db84798ea28bee372490,get_newest_articles_api.py db_check_not_empty,0.003574848,FALSE,2022-07-03 18:10:12:085486
3639156,3639156,62c1db84798ea28bee372491,get_newest_articles_api.py db_get_newest_entry,0.00355196,FALSE,2022-07-03 18:10:12:091978
3639157,3639157,62c1db84798ea28bee372492,get_newest_articles_api.py get,0.03601861,FALSE,2022-07-03 18:10:12:132314
3639158,3639158,62c1db84798ea28bee372493,get_newest_articles_api.py main,4.35346508,FALSE,2022-07-03 18:10:12:207843
3639275,3639275,62c1dcaf20cde6ade227a018,get_newest_articles_api.py get_keywords,4.167257071,FALSE,2022-07-03 18:15:11:002370
